time,gFx,gFy,gFz,TgF
0.001095,-0.1174,0.3729,0.8792,0.962
0.003695,-0.1197,0.3757,0.8797,0.964
0.021034,-0.1287,0.3880,0.8652,0.957
0.023596,-0.1446,0.4239,0.8652,0.974
0.033548,-0.1404,0.4275,0.8731,0.982
0.037078,-0.1038,0.4479,0.9219,1.030
0.041035,-0.0982,0.4517,0.9317,1.040
0.051631,-0.0904,0.4515,0.9381,1.045
0.057313,-0.0762,0.4537,0.9649,1.069
0.070537,-0.0759,0.4542,0.9659,1.070
0.080201,-0.0843,0.4647,0.9234,1.037
0.085135,-0.0892,0.4584,0.8909,1.006
0.088186,-0.0908,0.4615,0.8820,1.000
0.100409,-0.0948,0.4640,0.8671,0.988
0.107609,-0.1021,0.4862,0.8244,0.963
0.117092,-0.1085,0.4869,0.8310,0.969
0.120297,-0.1136,0.4640,0.8203,0.949
0.129985,-0.1113,0.4505,0.8079,0.932
0.133239,-0.1209,0.4197,0.8171,0.927
0.136607,-0.1270,0.4092,0.8171,0.923
0.149344,-0.1416,0.3960,0.8354,0.935
0.153272,-0.1586,0.4121,0.8447,0.953
0.166704,-0.1654,0.4170,0.8550,0.966
0.169725,-0.1556,0.4237,0.9104,1.016
0.182114,-0.1476,0.4253,0.9124,1.017
0.185959,-0.1251,0.4078,0.9600,1.050
0.198985,-0.1197,0.3939,0.9659,1.050
0.202919,-0.1307,0.3548,1.0043,1.073
0.215841,-0.1253,0.3599,1.0080,1.078
0.220622,-0.1524,0.4014,1.0038,1.092
0.234465,-0.1581,0.4165,0.9979,1.093
0.238816,-0.1146,0.4913,0.9395,1.066
0.251235,-0.0943,0.4943,0.9165,1.046
0.253776,-0.0874,0.4532,0.9337,1.042
0.268059,-0.0726,0.4412,0.9167,1.020
0.288712,-0.0960,0.4048,0.8804,0.974
0.298710,-0.1170,0.3499,0.8860,0.960
0.303179,-0.0955,0.3333,0.9468,1.008
0.315808,-0.0908,0.3366,0.9561,1.018
0.318495,-0.0589,0.3506,0.9537,1.018
0.333970,-0.0505,0.3587,0.9507,1.017
0.347297,0.0004,0.3743,0.9276,1.000
0.351091,0.0559,0.3655,0.8850,0.959
0.363736,0.0720,0.3618,0.8720,0.947
0.367666,0.0947,0.3643,0.8855,0.962
0.371915,0.1011,0.3655,0.8936,0.971
0.381023,0.1028,0.3697,0.8994,0.978
0.385209,0.1169,0.3790,0.9200,1.002
0.388366,0.1177,0.3825,0.9324,1.015
0.400557,0.1211,0.3782,0.9752,1.053
0.416546,0.1490,0.3992,0.9898,1.078
0.428521,0.2003,0.4156,0.9768,1.080
0.431162,0.2032,0.4176,0.9207,1.031
0.435253,0.2047,0.4230,0.9344,1.046
0.448159,0.2103,0.4185,0.9178,1.030
0.452913,0.1922,0.4051,0.8972,1.003
0.464173,0.1756,0.3992,0.8589,0.963
0.466771,0.1560,0.3911,0.8633,0.960
0.470517,0.1387,0.3887,0.8503,0.945
