time,gFx,gFy,gFz,TgF
0.000916,0.0684,0.4097,0.9635,1.049
0.012557,0.0752,0.4090,0.9517,1.039
0.016137,0.0617,0.4237,0.8254,0.930
0.019348,0.0505,0.4332,0.7895,0.902
0.028150,0.0356,0.4412,0.7526,0.873
0.033472,-0.0512,0.4964,0.6852,0.848
0.043695,-0.0620,0.5060,0.6959,0.863
0.048584,-0.0838,0.5185,0.7583,0.922
0.052574,-0.0838,0.5120,0.8022,0.955
0.068128,-0.0774,0.5060,0.8147,0.962
0.078491,-0.0342,0.4777,0.9002,1.020
0.082269,-0.0173,0.4728,0.9361,1.049
0.085129,-0.0146,0.4722,0.9370,1.049
0.098058,-0.0119,0.4750,0.9332,1.047
0.101426,0.0121,0.4815,0.9132,1.032
0.109649,0.0156,0.4842,0.9072,1.028
0.114758,0.0207,0.4957,0.8652,0.997
0.117696,0.0197,0.4928,0.8522,0.985
0.134603,0.0148,0.4906,0.8420,0.975
0.139906,-0.0227,0.4879,0.8058,0.942
0.148197,-0.0298,0.4915,0.7970,0.937
0.168023,-0.0408,0.4967,0.7993,0.942
0.176333,-0.0422,0.4922,0.8359,0.971
0.180647,-0.0440,0.4752,0.8757,0.997
0.194126,-0.0476,0.4698,0.8929,1.010
0.196827,-0.0381,0.4524,0.9346,1.039
0.200734,-0.0310,0.4476,0.9381,1.040
0.211231,-0.0315,0.4461,0.9378,1.039
0.215786,-0.0328,0.4417,0.9427,1.042
0.228740,-0.0379,0.4403,0.9400,1.039
0.232588,-0.0589,0.4491,0.9041,1.011
0.246624,-0.0640,0.4498,0.8941,1.003
0.261113,-0.0855,0.4645,0.8477,0.970
0.265754,-0.0960,0.4720,0.8291,0.959
0.281855,-0.0933,0.4725,0.8249,0.955
0.293823,-0.1009,0.4782,0.8371,0.969
0.297301,-0.1085,0.4728,0.8506,0.979
0.300570,-0.1106,0.4701,0.8559,0.983
0.308515,-0.1138,0.4691,0.8613,0.987
0.313953,-0.1162,0.4628,0.8704,0.993
0.316555,-0.1180,0.4610,0.8733,0.995
0.326483,-0.1190,0.4617,0.8692,0.991
0.330596,-0.1253,0.4622,0.8576,0.982
0.341134,-0.1265,0.4586,0.8533,0.977
0.345468,-0.1363,0.4554,0.8555,0.979
0.348343,-0.1376,0.4556,0.8533,0.977
0.360738,-0.1373,0.4528,0.8452,0.969
0.363748,-0.1332,0.4459,0.8401,0.960
0.375585,-0.1344,0.4430,0.8352,0.955
0.379990,-0.1400,0.4314,0.8366,0.952
0.384670,-0.1376,0.4278,0.8386,0.951
0.397884,-0.1358,0.4239,0.8428,0.953
0.412424,-0.1316,0.4127,0.8615,0.964
0.423823,-0.1097,0.4156,0.8936,0.992
0.426671,0.0009,0.4943,1.0714,1.180
0.431163,0.0170,0.4943,0.9761,1.094
0.445062,0.0058,0.4875,0.9407,1.060
0.459460,-0.0982,0.4146,0.8081,0.913
0.462224,-0.1185,0.4288,0.7054,0.834
0.474694,-0.0967,0.4412,0.6691,0.807
0.477293,-0.0980,0.4684,0.6776,0.829
0.479939,-0.1048,0.4738,0.6817,0.837
0.482447,-0.1339,0.4854,0.6901,0.854
0.493995,-0.1336,0.4798,0.7010,0.860
0.498676,-0.1575,0.4610,0.7485,0.893
0.511519,-0.1468,0.4554,0.7690,0.906
0.514397,-0.0823,0.4620,0.9232,1.036
0.526915,-0.0750,0.4635,0.9586,1.067
0.531494,-0.0410,0.4412,1.0947,1.181
0.542276,-0.0371,0.4356,1.1007,1.184
0.546811,-0.0293,0.3967,1.1403,1.208
0.561165,-0.0214,0.3877,1.1374,1.202
0.564240,0.0148,0.3818,1.1520,1.214
0.576932,0.0334,0.3790,1.1540,1.215
0.579639,0.0938,0.3955,1.2633,1.327
0.596456,0.0938,0.4095,1.2999,1.366
0.610643,0.1983,0.3909,1.1631,1.243
0.614796,0.2951,0.3706,1.1816,1.273
0.628453,0.3568,0.3699,1.1769,1.284
0.643518,0.4932,0.3201,1.2391,1.371
0.646074,0.6410,0.2294,1.3226,1.488
0.658321,0.6694,0.2155,1.3358,1.510
0.661602,0.8128,0.1686,1.3863,1.616
0.674233,0.8677,0.1554,1.3658,1.626
0.677633,0.9836,0.1419,1.3187,1.651
0.680149,0.9960,0.1337,1.3073,1.649
0.690849,1.0111,0.1317,1.2901,1.644
0.693775,1.0476,0.1156,1.1836,1.585
0.697696,1.0477,0.1139,1.1496,1.560
0.707263,1.0461,0.1144,1.1173,1.535
0.713288,0.9857,0.1442,0.9547,1.380
0.724675,0.9312,0.1556,0.9104,1.312
0.729374,0.7717,0.1483,0.7785,1.106
0.741244,0.7402,0.1430,0.7492,1.063
0.746591,0.5411,0.1368,0.5559,0.788
0.759675,0.5157,0.1434,0.5364,0.758
0.772632,0.3818,0.2257,0.4259,0.615
0.775683,0.2625,0.2490,0.3624,0.512
0.778300,0.2291,0.2514,0.3525,0.490
0.788982,0.1678,0.2580,0.3392,0.458
0.792794,0.0833,0.2981,0.3141,0.441
0.795334,0.0664,0.3086,0.3092,0.442
0.805637,0.0476,0.3208,0.3057,0.446
0.808640,-0.0617,0.3638,0.2989,0.475
0.812302,-0.0899,0.3667,0.3075,0.487
0.825430,-0.1153,0.3677,0.3116,0.496
0.829739,-0.3088,0.3528,0.3085,0.561
0.841429,-0.3491,0.3489,0.3155,0.586
0.845621,-0.6613,0.3181,0.4154,0.843
0.860722,-0.7146,0.3156,0.4296,0.892
0.872167,-0.9604,0.3044,0.4885,1.120
0.876457,-1.0070,0.3181,0.4951,1.166
0.879626,-1.0070,0.3269,0.4860,1.165
0.890340,-1.0063,0.3338,0.4772,1.163
0.894940,-0.9699,0.3831,0.3949,1.115
0.911170,-0.9669,0.4070,0.3612,1.110
0.920760,-0.9862,0.4720,0.2617,1.124
0.923731,-1.0163,0.4933,0.1932,1.146
0.926803,-1.0226,0.4928,0.1880,1.151
0.940590,-1.0246,0.4928,0.1855,1.152
0.943625,-1.0412,0.4510,0.2291,1.158
0.957921,-1.0403,0.4417,0.2617,1.160
0.975207,-0.9988,0.3909,0.4692,1.171
0.978371,-1.0097,0.3562,0.6244,1.239
0.991222,-1.0141,0.3501,0.6407,1.250
0.994272,-1.0500,0.3269,0.6412,1.273
1.009512,-1.0552,0.3217,0.6375,1.274
1.021686,-1.0395,0.3012,0.5706,1.223
1.024669,-1.0224,0.3059,0.5332,1.193
1.041206,-1.0163,0.3210,0.5083,1.181
1.044865,-0.9941,0.3841,0.3707,1.128
1.057207,-0.9955,0.3951,0.3351,1.122
1.060804,-1.0432,0.4798,0.0947,1.152
1.070982,-1.0573,0.4935,0.0500,1.168
