time,gFx,gFy,gFz,TgF
0.000863,-0.1945,0.3748,1.0551,1.136
0.016001,-0.1903,0.3669,1.0350,1.114
0.018571,-0.1658,0.3809,0.9547,1.041
0.038607,-0.1686,0.3829,0.9386,1.028
0.047362,-0.2360,0.3934,0.8601,0.975
0.050298,-0.2489,0.3887,0.8918,1.004
0.053281,-0.2482,0.3860,0.9041,1.014
0.065638,-0.2457,0.3855,0.9190,1.026
0.070881,-0.1920,0.3897,0.9745,1.067
0.083980,-0.1642,0.3980,0.9757,1.066
0.098760,-0.1243,0.3724,0.9671,1.044
0.103452,-0.0782,0.3685,0.9801,1.050
0.117822,-0.0718,0.3726,0.9854,1.056
0.130955,-0.0718,0.3841,0.9735,1.049
0.134312,-0.0933,0.3836,0.9563,1.035
0.146243,-0.0994,0.3865,0.9598,1.039
0.151190,-0.1334,0.3757,0.9456,1.026
0.163822,-0.1402,0.3729,0.9260,1.008
0.167655,-0.1400,0.3626,0.9197,0.998
0.178389,-0.1392,0.3594,0.9095,0.988
0.183032,-0.1183,0.3738,0.9072,0.988
0.185761,-0.1104,0.3767,0.8941,0.976
0.197811,-0.1111,0.3794,0.9078,0.990
0.200891,-0.1060,0.3877,0.9116,0.996
0.212270,-0.1092,0.3904,0.9281,1.013
0.215038,-0.1172,0.3909,0.9156,1.002
0.218043,-0.1178,0.3904,0.9288,1.014
0.228207,-0.1183,0.3951,0.9341,1.021
0.231896,-0.1118,0.4281,0.9532,1.051
0.234882,-0.1131,0.4344,0.9500,1.051
0.243702,-0.1146,0.4427,0.9363,1.042
0.246438,-0.1348,0.4645,0.9253,1.044
0.250438,-0.1383,0.4673,0.8962,1.020
0.262432,-0.1376,0.4647,0.8838,1.008
0.265692,-0.1302,0.4552,0.8880,1.006
0.280916,-0.1283,0.4540,0.8818,1.000
0.285803,-0.0931,0.4383,0.8682,0.977
0.294403,-0.0848,0.4393,0.8720,0.980
0.298719,-0.0833,0.4391,0.8494,0.960
0.303742,-0.0840,0.4370,0.8484,0.958
0.312595,-0.0901,0.4283,0.8298,0.938
0.315681,-0.1018,0.4076,0.8022,0.906
