time,gFx,gFy,gFz,TgF
0.000811,-0.1964,0.4219,0.8848,1.000
0.014918,-0.1795,0.4244,0.8818,0.995
0.028376,-0.1400,0.4156,0.9202,1.019
0.031702,-0.1416,0.4044,0.9386,1.032
0.045986,-0.1451,0.4032,0.9383,1.031
0.049217,-0.1884,0.4116,0.9302,1.035
0.066393,-0.1930,0.4112,0.9153,1.022
0.082010,-0.2269,0.4278,0.8726,0.998
0.096464,-0.2257,0.4414,0.8520,0.986
0.110665,-0.1986,0.4435,0.8797,1.005
0.126931,-0.1828,0.4410,0.9134,1.031
0.131548,-0.1873,0.4391,0.9102,1.028
0.149573,-0.1891,0.4376,0.9065,1.024
0.163078,-0.2096,0.4286,0.8704,0.993
0.180025,-0.2001,0.4265,0.8750,0.994
0.195328,-0.1910,0.4172,0.8785,0.991
0.198849,-0.1940,0.4129,0.9134,1.021
0.213814,-0.1945,0.4137,0.9178,1.025
0.229586,-0.1935,0.4168,0.9358,1.043
0.244972,-0.2064,0.4137,0.9202,1.030
0.248218,-0.2238,0.4129,0.8974,1.013
0.262194,-0.2269,0.4116,0.8943,1.010
0.277980,-0.2308,0.4153,0.8855,1.005
0.281386,-0.2086,0.4176,0.8934,1.008
0.293922,-0.2038,0.4185,0.8853,1.000
0.297967,-0.1898,0.4290,0.8855,1.002
0.312181,-0.1864,0.4278,0.8899,1.005
0.329302,-0.1817,0.4319,0.8892,1.005
0.344999,-0.1722,0.4356,0.8953,1.010
0.354176,-0.1725,0.4388,0.8850,1.003
0.366416,-0.1756,0.4383,0.8752,0.994
0.377435,-0.1830,0.4395,0.8557,0.979
0.380124,-0.1824,0.4439,0.8584,0.983
0.393753,-0.1832,0.4427,0.8640,0.988
0.408156,-0.1915,0.4363,0.8760,0.997
0.427230,-0.1856,0.4319,0.8934,1.010
0.429862,-0.1856,0.4278,0.9121,1.024
0.441374,-0.1881,0.4305,0.9200,1.033
0.445585,-0.1791,0.4288,0.9258,1.036
0.458419,-0.1774,0.4319,0.9258,1.037
0.462894,-0.1703,0.4363,0.9146,1.028
0.474845,-0.1681,0.4342,0.9127,1.025
0.491850,-0.1823,0.4327,0.8904,1.007
